t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
18,40,18,18,18,18,40,18,40,18,18,18,18,18,18,18,18,40,18,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,43,43,49,7,19,7,14,18,18,18,18,14,7,7,185,3,57,59,3,57,59,3,40,18,18,125,8,113,107,3,3,117,49,14,14,130,130,3,3,3,3,3,3,3,3,3,3,3,109,3,3,105,57,59,3,3,3,3,130
15,71,33,33,33,33,33,33,33,33,33,33,34,33,33,71,15,15,15,15,15,15,15,15,15,15,71,33,33,33,11,33,33,33,33,33,33,33,33,33,34,33,33,11,33,71,15,15,15,15,15,15,15,15,15,15,71,33,33,71,15,15,15,15,15,15,15,15,15,15,71,33,34,33,33,33,11,33,33,33,33,33,33,33,33,33,33,71,15,15,15,15,15,15,15,15,15,15,71,33
15,15,27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,15,15,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,15,15,80,82,80,82,3,57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,7,33,15,15,15,15,15,15,15,15,15,15,68,33,33,33,33
80,82,15,15,80,82,80,82,7,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,109,3,3,3,3,3,3,3,3,19,3,3,19,19,105,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,22,5,37,22,22,3,50,42,25,76,76,2,76,2,85,85,57,3,27,25,27,32,25,25,57,3,27,25,27,32,25,25,2,3,57,3,27,25,27,32,25,25,57,3,27,25,32,25,2,7,2,2,3,105,3,3
7,7,7,7,7,7,7,43,7,7,7,7,43,7,50,113,107,7,81,40,18,199,18,8,62,35,22,179,22,197,113,107,3,77,7,7,7,15,15,7,7,15,7,15,15,40,18,80,82,71,15,15,15,15,15,15,15,15,15,15,71,7,15,15,29,40,29,18,50,29,40,29,18,42,29,40,29,18,25,71,15,15,15,15,15,15,15,15,15,15,21,12,21,12,50,42,25,50,42,25
40,29,18,40,115,40,115,40,115,40,115,40,117,40,109,40,115,40,7,40,115,40,115,40,115,40,115,40,115,40,115,40,115,40,115,40,115,40,115,40,115,40,214,40,115,40,115,40,217,40,143,7,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,33,2,173,19,19,2,135,105,130,130,3,3,7,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130,12,130
40,7,7,40,7,7,40,7,7,50,50,40,7,7,40,7,7,40,7,7,131,131,131,131,40,7,7,40,7,7,40,7,7,53,7,7,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,40,7,7,15,15,40,7,7,14,18,40,7,7,20,40,7,7,3,19,19,130,130,3,3,3,3,105,57,59,3,3,3,3,130
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,18,18,18,18,18,141,50,50,50,44,25,27,32,40,18,18,18,43,43,43,19,14,18,18,18,18,18,18,7,19,7,120,14,18,191,76,143,64,154,154,3,3,64,29,8,116,7,5,19,3,130,130,3,3,3,109,3,3,3,3,19,3,3,3,3,3,3,3,3,25,3,3,3,3,3,109,3,25,3,3,3,3,19,109,3,3,3,3,3,3,105,57,59,3,3,3,3,3,130
109,107,3,109,30,76,3,107,109,107,3,109,14,18,18,3,126,113,107,126,30,3,30,76,3,109,3,30,76,3,107,109,107,3,109,30,76,3,107,109,107,3,109,195,135,135,158,21,158,21,158,23,82,69,8,17,3,6,3,28,77,3,75,8,143,39,91,163,85,18,135,105,26,45,53,53,12,182,41,39,91,163,26,45,53,53,12,182,41,39,91,163,26,45,53,53,12,182,41,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,7,7,40,18,18,18,49,122,57,59,59,3,95,49,57,46,40,18,112,43,43,43,141,14,14,40,141,14,57,59,3,14,18,18,18,18,3,3,46,59,3,40,18,49,40,18,122,40,18,12,130
40,18,18,19,43,40,7,8,35,7,5,3,7,81,28,77,146,3,186,95,95,113,107,7,7,19,3,7,81,8,17,3,81,27,32,25,27,32,25,122,14,18,27,141,50,50,40,18,81,81,200,126,225,85,40,18,3,170,57,57,59,3,3,57,59,3,57,59,3,40,18,18,8,22,35,5,22,17,179,3,105,24,19,19,130,130,3,109,3,3,3,105,57,59,3,3,3,3,3,130
18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,3,109,3,3,3,3,105,57,59,3,3,3,3,3,3,19,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,130
15,15,15,71,15,15,15,15,15,15,15,15,15,15,33,33,101,40,18,101,18,18,33,33,33,33,33,33,71,15,15,15,15,15,15,15,15,15,15,71,68,33,33,33,33,33,33,33,34,11,33,33,33,33,34,11,33,33,33,33,34,11,33,33,33,33,34,11,33,33,33,33,34,11,33,33,33,33,34,11,33,34,33,34,33,33,33,33,33,34,11,33,33,33,33,34,11,33,33,33
14,81,53,53,53,53,53,53,53,53,53,40,104,3,53,53,53,53,53,53,53,53,53,53,53,23,82,69,37,95,21,6,8,22,35,5,3,10,3,6,9,38,117,63,42,25,50,136,25,38,8,12,71,15,15,15,15,15,15,15,15,15,15,71,109,3,130,130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,18,14,18,3,3,3,105,57,59,3,3,3,3,3,130
15,15,15,15,15,25,15,15,15,40,18,18,18,18,18,18,18,18,18,18,18,40,14,14,122,40,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,40,14,14,40,110,130,130,3,3,3,3,3,3,3,14,18,14,18,3,3,3,3,3,105,57,59,3,3,3,3,130
15,15,15,71,27,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,12,53,40,18,105,105,105,105,105,105,105,105,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,3,33,173,3,105,135,19,19,2,135,105,105,130,130,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
12,12,12,12,12,12,12,12,29,40,29,18,63,29,40,29,18,25,63,29,40,29,18,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,25,12,40,18,105,105,105,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,3,33,173,19,19,2,135,105,130,130,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
18,18,18,18,40,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,40,18,18,18,18,18,18,18,18,18,43,43,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,3,3,57,59,3,57,59,3,3,15,7,15,15,40,18,49,27,63,63,63,14,14,130,130,3,3,3,3,3,105,57,59,3,3,3,3,130
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,247,3,3,19,19
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,28,77,3,123,12,7,7,7,7,19,7,19,19,12,12,6,12,12,12,8,8,8,19,7,7,19,7,19,19,19,12,7,7,19,7,19,19,19,12,19,7,120,75,40,14,18,8,12
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,18,18,14,18,18,197,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,62,62,62,3,40,112,50,44,25,57,59,3,57,59,3,57,59,3,27,187,57,57,59,3,76,49,191,76,143,36,130,130,3,105,57,59,3,3,3,3,3,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,18,18,18,7,7,40,18,18,18,49,122,57,59,59,3,95,49,57,46,40,18,122,7,19,7,40,18,40,18,46,40,18,40,18,40,18,49,40,18,112,43,43,43,141,14,14,40,141,14,57,59,3,14,18,18,18,18,3,3,46,59,3,40,18,49,40,18,40,18,40,18,12,130
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
3,57,59,21,59,21,59,21,59,21,15,46,171,7,7,7,7,7,7,7,7,7,7,7,7,43,7,7,7,7,43,7,46,29,40,29,18,81,8,8,8,62,22,22,22,7,7,5,3,7,7,7,7,6,6,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,33,2,173,19,19,2,135,105,130,130,3,3,19,3,3,19,19,3,3,105,57,59,3,3,3,3,130
53,14,18,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,65,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,95,95,95,95,65,38,65,38,20,20,9,65,9,65,9,65,9,9,9,9,9,9,9,9,9,9,9,117,3,3,3,19,19,130,130,3,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
32,25,27,27,25,32,25,76,3,154,3,27,27,25,32,25,27,27,25,32,25,76,3,154,3,27,27,25,32,25,27,27,25,32,25,18,140,140,3,140,140,3,140,140,140,140,3,18,105,3,31,65,117,19,7,90,121,19,19,130,130,3,3,3,3,3,3,109,3,3,3,105,18,3,3,3,3,3,3,18,3,3,3,3,3,109,3,25,3,3,3,105,57,59,3,3,3,3,3,130
40,12,12,12,8,7,12,12,12,12,12,12,12,12,8,12,12,12,12,7,49,122,57,59,59,3,95,49,57,46,40,40,40,18,49,112,43,43,43,141,14,14,40,141,14,57,59,3,14,18,18,18,18,3,3,46,59,3,40,19,7,7,40,40,75,12,65,3,57,59,3,57,59,3,40,18,18,125,8,113,107,3,3,24,9,50,42,25,117,130,130,3,105,57,59,3,3,3,3,130
18,14,18,18,18,18,18,18,18,18,14,18,18,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,7,19,7,7,7,7,62,62,62,14,18,185,7,7,33,15,15,15,15,29,29,53,171,95,7,28,3,110,173,185,130,130,3,3,3,3,3,3,3,3,19,3,3,3,3,3,3,3,3,3,3,3,3,14,18,14,18,3,3,3,3,105,57,59,3,3,3,3,130
15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,33,33,33,11,33,33,11,33,66,66,66,33,33,11,33,66,66,66,33,33,11,33,33,11,33
15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,66,66,66,29,14,29,14,18,138,82,23,82,69,71,15,15,15,15,15,15,66,71,15,15,15,15,15,15,15,15,15,15,71,27,71,15,15,15,15,15,15,15,15,15,15,71,71,15,15,15,15,15,15,15,15,15,15,66,66,66,33,33
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,247,2,33,2,173,19,19,2,135,105,3,3,19,19
14,18,18,18,18,18,18,15,15,15,15,15,15,80,80,3,3,57,59,21,59,21,59,21,59,21,15,50,171,7,7,7,7,7,7,7,7,7,7,7,7,43,7,7,7,7,43,7,50,7,8,62,8,3,12,117,12,12,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,19,19,2,135,105,130,130,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
27,103,27,103,27,103,27,103,27,103,27,103,27,103,27,103,27,103,25,3,57,27,25,32,32,32,40,18,18,125,8,113,107,3,3,15,25,15,101,101,101,132,107,109,3,101,101,3,57,27,25,103,25,27,32,25,27,14,80,80,40,15,15,66,66,66,101,141,50,50,40,18,101,18,18,15,15,80,82,80,82,3,57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,66,66,66
63,44,44,42,53,12,110,38,38,21,50,125,125,125,101,125,141,27,40,18,32,25,27,32,25,95,95,181,125,125,3,40,18,76,7,18,76,154,3,7,27,27,25,32,25,27,27,25,32,25,76,3,154,3,27,27,25,32,25,27,27,25,32,25,76,3,154,3,27,27,25,32,25,27,27,25,32,25,140,140,3,140,140,3,140,140,140,140,3,18,105,3,117,76,76,7,7,49,49,49
2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,3,2,2,28,28,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,28,28,6,6,6,6,6,6,10,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2,2,28,28,2
18,18,18,18,14,18,14,18,18,18,18,81,53,53,53,53,53,53,53,53,53,40,18,18,18,18,18,18,104,3,53,53,53,53,53,53,53,53,53,53,53,23,82,69,40,18,18,125,8,113,107,3,3,95,21,6,6,9,38,36,2,36,8,113,107,3,12,130,130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,18,14,18,105,57,59,3,3,3,3,3,130
2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,76,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20
18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,40,112,46,59,3,57,59,3,57,59,3,57,59,3,46,187,57,57,59,3,76,7,7,27,170,95,95,7,19,7,40,18,18,18,18,40,18,18,18,40,18,40,18,49,40,18,40,18,2,50,44,25,14,14,14,14,50,25,105,105,105,105,105,105,105,105,105,14,14,130,130,3,3,19,3,3,105,57,59,3,3,3,3,3,130
5,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,5,22,5,22,5,22,5,22,5,22,5,22,5,22,5,22,5,22,5,3,8,62,22,17,3,8,8,8,62,6,3,7,5,3,7,7,7,7,19,19,19,7,19,7,19,7,19,6,3,8,62,6,3,7,5,3,8,8,8,62,6,3,7,5,3,6,24,3,12,19,19,19
15,15,15,15,15,71,15,15,80,82,80,82,3,57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,11,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
57,57,57,59,3,3,57,3,57,57,59,59,3,3,3,3,46,59,3,40,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,40,18,3,40,112,46,59,3,57,59,3,57,59,3,57,59,3,46,187,57,57,59,3,76,49,191,76,143,130,130,3,105,57,59,3,3,3,3,3,130
18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,3,109,3,3,3,3,105,57,59,3,3,3,3,3,3,19,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,14,18,130
57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,42,25,130
6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,108,6,10,10,3,6,10,10,3,6,10,10,3,108,185,7,15,15,57,59,3,57,59,3,3,7,14,18,7,7,40,18,7,19,110,105,3,3,19,19,7,185,130,130,7,19,19,19,7,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
80,82,15,15,80,82,80,82,19,19,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,12,7,7,12,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,3,19,3,3,19,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,18,14,18,57,59,3,3,3,3,130
18,18,18,18,14,18,18,18,18,18,18,18,18,18,18,18,18,14,18,18,18,18,18,18,18,14,18,14,18,18,14,18,18,14,18,33,29,29,23,171,190,49,110,58,58,3,68,3,25,3,25,3,173,14,14,130,130,3,3,3,109,3,3,3,3,3,3,14,18,14,18,3,3,3,3,3,14,105,3,3,3,25,25,25,25,3,109,3,25,3,3,105,57,59,3,3,3,3,3,130
18,101,18,18,15,15,80,82,80,82,3,57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,12,7,12,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
32,32,32,25,22,5,22,5,22,8,22,5,22,5,5,17,162,3,19,19,7,5,22,5,22,8,19,19,17,5,5,17,5,5,17,5,5,17,5,5,17,162,3,19,19,7,5,22,5,22,8,19,19,17,5,5,17,162,3,19,19,7,22,3,3,27,32,25,40,18,21,101,101,227,185,130,130,105,3,3,3,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,247,2,33,2,173,19,19,2,135,105,3,3,19,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,18,18,18,18,18,18,18,18,40,18,110,21,38,8,110,130,130,105,3,3,3,3,3,3,105,57,59,3,3,3,3,130
199,18,8,62,35,22,179,22,197,113,107,3,77,7,7,7,15,15,124,27,32,25,7,53,53,133,124,53,53,3,40,18,12,12,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,3,3,33,2,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,105,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
